DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL RAINFALL,AVG_TEMP,HUMIDITY,ELEVATION,FLOOD_RISK_INDEX,FLOODS
Coimbatore,1997,24.999,20.035,48.166,67.127,152.089,553.222,481.691,409.409,264.658,137.235,66.18,22.713,2210.662,28.83,86.28,36.03,0.69,NO
Bhagalpur,1997,11.265,12.075,22.676,37.402,87.916,227.681,258.625,235.321,159.497,53.467,36.139,10.251,1165.695,29.2,51.51,270.59,0.309,YES
Pune,1992,11.161,14.076,26.636,38.674,66.951,235.358,330.313,213.032,144.19,67.058,31.723,10.365,1245.664,27.26,60.13,469.13,0.336,YES
Bareilly,1992,7.35,8.93,16.32,28.2,61.221,205.327,189.299,178.56,95.45,45.8,26.235,7.783,864.132,32.93,52.12,320.0,0.25,YES
Dindigul,2011,12.628,12.923,24.121,41.287,80.547,310.244,351.327,265.539,197.759,62.164,40.842,13.115,1282.953,23.94,44.46,552.22,0.26,NO
Rangareddy,1995,27.49,29.268,53.714,84.335,168.407,498.691,740.76,539.579,313.1,117.708,83.761,23.47,2545.941,29.64,80.54,16.0,0.728,NO
Pune,1991,10.021,11.359,17.064,35.748,81.571,216.67,273.383,221.914,124.122,57.185,32.849,11.356,1122.968,31.11,67.41,273.48,0.373,YES
Silchar,2012,19.454,19.065,40.624,63.915,131.071,410.86,519.698,344.487,260.295,119.127,58.762,19.423,1976.147,26.87,74.69,48.42,0.593,NO
Nalanda,1991,5.234,5.68,11.243,13.493,34.196,112.393,131.769,94.493,73.809,24.603,16.102,5.257,534.832,28.13,37.9,272.95,0.132,NO
Chennai,2006,19.892,22.71,46.344,63.765,150.836,472.732,447.339,408.27,273.283,105.616,63.274,24.308,2229.766,27.54,74.08,29.0,0.639,NO
Karimnagar,2024,10.478,13.401,18.448,26.136,85.189,201.718,252.619,245.763,127.564,61.025,31.511,11.592,1118.658,20.21,61.33,472.93,0.317,YES
Kota,2023,6.832,6.538,16.894,24.014,46.743,141.446,206.593,129.783,78.337,37.696,26.507,7.24,720.074,34.54,40.14,263.61,0.177,NO
Begusarai,2012,11.85,9.633,22.222,31.014,89.079,248.764,329.205,199.559,129.142,55.631,30.059,10.864,1072.38,26.64,38.78,540.03,0.198,NO
Coimbatore,2019,3.98,3.448,6.784,10.104,22.109,79.206,84.781,67.055,46.101,18.224,10.371,3.944,364.872,23.25,41.46,149.28,0.133,NO
Jhansi,1997,18.755,15.552,45.06,54.699,129.151,369.179,499.947,386.684,262.123,115.749,55.588,18.015,1987.94,18.72,83.32,334.69,0.595,YES
Murshidabad,2011,25.219,27.775,52.595,75.827,162.093,414.599,598.347,599.428,333.206,130.488,85.647,23.18,2660.715,31.93,85.8,78.95,0.764,NO
Ahmedabad,1994,8.134,6.643,16.736,24.893,58.219,180.645,217.888,142.203,108.534,39.592,19.483,8.0,808.79,28.69,57.09,309.34,0.264,NO
Katihar,2002,11.323,9.557,24.105,28.959,70.863,198.56,220.436,191.575,118.534,52.483,22.333,11.397,1063.492,32.28,50.06,0.0,0.321,NO
Howrah,2018,9.14,9.545,14.526,24.859,65.38,188.268,244.969,172.48,101.862,36.032,28.336,8.143,853.631,24.91,48.14,384.89,0.221,NO
Surat,2020,20.381,20.245,30.896,55.991,148.637,404.265,531.249,438.081,223.677,96.328,60.075,21.883,2031.192,15.66,69.82,1124.58,0.434,YES
Nalanda,2005,17.205,14.479,34.536,56.726,140.053,362.225,374.977,338.021,221.446,95.715,55.531,17.174,1761.697,13.64,82.78,782.52,0.49,NO
Churu,2019,19.807,17.072,37.155,58.825,135.048,386.671,482.19,326.557,219.273,82.911,53.138,16.109,1824.075,26.3,82.5,1622.49,0.386,YES
Hubballi,2005,7.944,6.17,16.306,23.072,63.976,150.434,188.037,164.058,90.796,39.449,25.327,7.473,767.881,22.72,60.03,236.53,0.279,NO
Dibrugarh,2001,5.392,4.008,11.177,11.865,38.273,78.348,144.257,97.877,52.335,28.573,12.876,4.707,481.635,27.65,56.18,370.26,0.191,YES
Dibrugarh,2006,31.667,26.117,40.066,73.31,169.501,511.937,625.289,529.891,255.411,118.734,77.72,23.208,2512.322,27.66,83.03,78.15,0.725,NO
Durgapur,2005,27.17,22.669,49.675,72.689,154.014,492.695,531.853,468.007,294.729,104.958,78.04,25.124,2448.661,28.75,77.59,71.51,0.689,NO
Dibrugarh,2001,8.976,8.525,15.084,25.568,63.377,150.166,189.401,166.261,98.476,42.545,24.823,8.659,852.278,22.03,56.55,373.03,0.26,NO
Patna,1997,12.03,11.298,21.562,28.602,69.626,232.459,255.458,193.662,155.637,61.774,31.761,9.56,1072.057,31.11,47.32,409.91,0.254,NO
Darbhanga,2009,22.847,20.262,46.398,60.792,173.683,404.017,658.611,434.434,291.066,100.777,55.536,16.392,2130.611,28.92,79.38,32.17,0.644,YES
Silchar,1992,22.964,20.503,35.647,69.145,159.027,463.582,440.892,458.044,253.753,116.356,64.408,20.716,2036.402,31.68,76.95,14.11,0.619,YES
Nashik,2005,6.828,6.581,13.441,17.305,41.718,100.257,143.116,130.872,76.877,27.351,20.526,7.867,606.43,22.06,34.97,370.03,0.118,NO
Patna,2019,10.502,11.307,21.654,34.305,83.024,214.787,280.617,232.902,145.066,66.187,34.583,10.896,1154.438,27.95,52.64,214.88,0.32,NO
Kolhapur,2012,3.25,3.16,5.96,9.558,20.455,57.549,61.537,58.779,30.036,14.222,9.644,2.581,303.859,31.61,59.94,178.79,0.202,NO
Chennai,2017,17.346,17.798,34.52,50.492,127.8,370.048,442.112,338.579,230.529,76.821,56.692,18.424,1768.178,27.91,77.69,9.77,0.573,YES
Jodhpur,1994,3.556,3.483,5.656,11.912,26.455,63.033,93.787,71.055,39.403,19.512,10.01,3.96,348.689,27.91,60.77,261.83,0.202,NO
Medak,2009,10.196,10.605,20.48,30.585,69.213,179.515,243.494,211.325,124.505,50.822,22.952,9.473,967.925,20.05,60.58,140.77,0.332,NO
Kalaburagi,1990,12.476,11.464,28.101,30.828,97.748,291.974,315.387,255.802,169.592,59.509,41.212,11.703,1288.587,20.53,57.71,362.22,0.347,NO
Nagpur,2019,8.447,9.903,19.185,23.889,76.856,184.385,252.733,223.241,118.275,54.214,26.364,10.985,961.814,31.2,65.22,251.47,0.336,NO
Jhansi,2010,7.41,7.615,13.803,24.88,60.103,173.918,173.009,167.589,100.912,42.866,22.357,6.053,807.66,27.5,36.16,334.74,0.165,NO
Nalanda,2009,11.104,10.22,21.324,30.82,74.303,222.719,211.137,231.097,122.191,60.295,29.685,9.665,1037.147,25.2,80.82,553.48,0.38,NO
Mangaluru,1995,24.18,25.771,47.741,77.847,165.156,492.591,750.833,508.416,307.413,104.648,83.604,27.161,2454.394,27.22,84.78,16.01,0.73,YES
Amravati,2011,18.085,21.515,40.237,58.699,153.932,369.564,451.728,397.604,246.057,106.79,57.546,17.821,1947.597,31.06,81.03,34.51,0.618,YES
Noida,2007,3.68,2.618,5.907,9.499,22.929,55.416,59.667,55.28,38.285,15.623,9.403,3.146,293.741,33.92,53.14,123.03,0.177,NO
Bhagalpur,1997,22.235,18.086,34.517,61.001,122.859,342.698,550.176,401.962,235.957,98.519,58.197,21.994,1960.721,25.55,80.27,64.83,0.613,NO
Pune,2021,13.746,13.679,29.365,50.004,133.87,352.15,428.984,321.405,168.492,85.169,58.445,15.811,1619.963,20.23,53.93,362.05,0.391,YES
Agra,2022,11.469,11.864,25.757,36.857,92.789,242.186,296.428,248.564,137.931,71.325,39.45,10.814,1214.995,27.48,59.77,267.56,0.356,NO
Surat,2005,20.938,23.904,46.08,69.929,155.333,473.099,556.092,477.996,292.489,131.302,64.382,22.6,2262.514,31.7,77.89,85.22,0.655,YES
Nalanda,2001,5.85,7.879,10.693,23.351,47.073,138.823,163.801,133.662,84.65,27.86,18.684,6.099,666.24,32.76,36.01,202.77,0.157,NO
Jaipur,2023,4.333,4.15,8.809,12.649,32.109,76.817,104.301,92.161,54.301,17.671,11.173,4.114,414.792,36.64,41.05,138.96,0.142,NO
Siliguri,2003,20.727,21.087,45.831,65.519,153.745,452.979,587.638,297.158,244.859,96.757,66.703,20.245,2122.554,19.49,76.7,1527.78,0.427,YES
Solapur,2022,5.159,5.557,9.623,15.919,41.413,110.926,107.712,99.421,63.632,27.018,14.974,4.793,512.046,31.14,48.55,176.15,0.189,NO
Durgapur,2012,16.132,14.282,35.571,57.053,116.591,313.02,438.277,345.207,186.983,79.734,45.14,16.287,1602.345,19.83,86.28,932.77,0.456,NO
Khammam,1991,12.049,10.787,20.884,30.445,85.308,233.722,290.044,244.861,127.746,52.237,35.945,9.677,1169.955,29.05,56.91,287.2,0.332,NO
Bharatpur,2010,24.888,31.852,44.209,73.356,140.882,499.058,764.365,534.861,287.782,155.618,63.295,26.71,2555.008,25.86,76.47,56.73,0.706,NO
Lucknow,1991,11.067,10.724,23.766,29.088,79.376,223.996,250.948,262.796,129.549,54.216,29.597,10.816,1099.567,26.78,47.43,478.05,0.25,NO
Mahbubnagar,2016,23.0,18.175,39.227,61.257,128.158,357.656,488.178,363.933,216.333,101.995,55.551,20.909,1864.652,24.94,78.54,1356.91,0.411,NO
Nadia,1998,10.416,9.128,14.718,25.741,61.328,215.855,237.285,168.744,124.499,46.876,32.998,10.973,1051.254,23.08,74.58,393.15,0.376,YES
Nagpur,1990,12.654,8.931,24.112,35.567,73.747,188.723,296.774,265.569,106.835,55.011,36.478,13.351,1200.138,17.95,56.09,154.7,0.352,YES
Pune,2000,15.945,19.638,27.009,39.419,126.942,251.843,430.479,319.495,179.718,78.786,43.013,15.936,1645.952,28.1,54.37,296.48,0.407,NO
Thane,1992,30.047,28.747,56.481,92.272,244.812,583.934,811.369,541.942,311.923,156.774,87.884,33.383,2999.517,34.72,84.33,45.78,0.824,YES
Muzaffarpur,2012,11.947,11.434,22.823,22.153,77.126,229.187,230.187,211.167,113.39,58.165,28.622,9.713,1054.911,23.28,49.36,384.05,0.264,NO
Nagpur,2015,8.795,11.298,20.3,32.133,52.858,161.055,261.453,152.0,103.247,55.596,25.004,7.544,922.348,31.11,76.2,270.95,0.376,NO
Muzaffarpur,1993,24.312,19.891,54.382,66.095,150.828,485.363,580.461,496.153,305.507,118.356,64.16,25.965,2419.706,28.04,79.62,93.13,0.69,NO
Vadodara,2007,18.59,18.239,40.521,48.369,145.294,407.331,555.409,379.519,271.463,105.167,59.766,23.604,1997.548,25.05,81.88,69.35,0.626,NO
Jorhat,1995,11.772,11.057,23.612,33.099,84.68,264.029,291.301,235.329,151.101,65.229,33.401,11.862,1166.136,28.75,60.38,388.58,0.333,YES
Kalaburagi,2024,8.061,7.709,12.146,24.588,54.97,158.119,164.326,151.528,97.105,34.028,20.999,8.105,746.269,20.31,34.95,153.38,0.173,YES
Noida,2011,15.756,16.531,30.272,59.866,124.331,329.029,403.395,296.177,200.361,90.027,46.546,17.061,1688.264,24.56,74.47,712.96,0.448,YES
Siliguri,2004,26.664,31.502,51.838,89.498,220.782,532.749,651.303,604.711,273.009,144.367,69.962,31.065,2768.139,28.33,78.09,34.25,0.755,YES
Nizamabad,2011,9.17,9.321,17.451,23.754,74.182,184.916,305.717,172.891,105.58,42.813,27.723,10.888,940.669,19.17,63.9,301.26,0.32,NO
Ajmer,2001,25.357,19.566,51.608,73.81,168.977,429.1,540.654,466.931,261.082,130.27,64.975,18.547,2303.085,33.56,85.71,85.73,0.697,NO
Dibrugarh,2007,17.58,17.708,39.356,61.94,142.232,422.832,492.505,395.434,285.007,113.231,63.106,22.063,2021.008,30.57,82.47,27.17,0.639,YES
Anand,2024,10.507,11.943,24.902,35.875,77.013,271.212,370.416,259.933,166.282,64.79,37.316,14.209,1301.332,27.26,53.34,56.85,0.371,YES
Mangaluru,2019,18.573,17.63,37.084,70.55,152.993,449.659,632.513,382.93,291.314,104.042,61.437,21.843,2166.711,30.66,88.24,93.01,0.683,NO
Bhavnagar,2013,23.195,22.179,48.079,68.549,155.434,434.267,579.913,391.656,242.666,109.12,71.673,27.511,2265.65,20.62,80.23,36.17,0.672,YES
Jalpaiguri,2019,17.549,14.669,32.848,57.024,112.719,310.091,474.969,373.242,182.485,81.185,60.158,19.354,1783.308,26.13,86.4,48.1,0.61,YES
Hubballi,2003,8.759,7.971,20.435,28.967,70.918,211.637,224.971,190.407,108.669,45.457,31.537,10.094,995.035,36.04,68.82,451.14,0.332,NO
Udaipur,1995,7.734,9.831,17.692,29.621,57.656,166.364,234.938,163.233,106.977,40.288,26.424,9.138,916.676,26.52,50.04,475.68,0.229,NO
Bharatpur,1992,25.767,24.789,53.17,78.323,178.483,482.346,711.894,534.425,276.741,136.984,83.94,25.518,2572.743,26.08,85.3,22.62,0.754,YES
Gorakhpur,2005,20.271,16.122,37.178,66.043,130.988,399.539,463.959,415.401,253.21,105.775,53.965,20.518,2030.147,28.51,84.34,58.05,0.645,YES
Dibrugarh,1996,32.341,30.028,56.395,67.627,190.681,650.723,790.512,584.515,311.126,140.414,90.293,30.564,2793.672,24.7,80.39,91.8,0.762,YES
Suryapet,2003,18.195,19.152,35.079,52.385,117.834,367.843,485.202,377.862,185.93,77.943,58.771,17.955,1764.316,32.73,77.77,51.27,0.567,YES
Meerut,1998,18.106,18.066,41.656,50.797,137.918,362.75,372.17,325.231,199.771,98.304,59.696,18.351,1772.347,18.66,81.52,1442.84,0.396,NO
Churu,2004,9.751,9.351,22.918,26.901,71.273,254.429,243.848,179.606,101.667,63.811,31.942,9.395,1028.872,19.69,69.93,324.83,0.36,YES
Kanpur,2010,9.953,9.472,16.508,32.832,71.251,217.192,253.777,205.552,94.528,55.327,27.121,9.3,1014.444,26.68,55.91,465.23,0.275,NO
Bhagalpur,2024,9.846,8.255,19.578,29.149,70.012,172.522,283.967,216.163,113.955,48.95,33.797,10.127,1039.439,29.99,66.06,499.71,0.321,NO
Tiruchirappalli,1991,17.84,20.196,36.301,56.773,141.84,450.301,612.168,462.822,242.636,124.817,64.509,18.371,2036.602,22.09,72.31,1693.87,0.369,YES
Erode,2016,7.053,6.528,12.23,18.5,48.189,150.28,193.335,122.347,81.302,36.635,21.279,7.472,698.705,24.41,39.51,247.41,0.172,NO
Jhansi,1991,16.771,19.765,35.051,56.585,118.059,352.711,368.371,321.322,206.033,88.543,66.703,16.864,1753.318,17.15,78.46,843.27,0.461,NO
Nalanda,2024,13.018,17.667,33.45,40.052,110.592,327.147,383.595,311.767,169.704,79.285,43.064,11.103,1509.647,13.62,81.31,1110.02,0.392,YES
Kolkata,2007,27.778,22.677,60.008,72.487,143.921,448.456,678.247,555.019,280.733,121.607,81.663,29.891,2724.287,30.14,82.59,59.98,0.764,YES
Vellore,2003,8.174,9.652,15.365,28.779,70.016,195.738,255.603,203.243,132.203,47.002,33.059,8.421,929.94,27.88,58.62,301.69,0.294,NO
Hubballi,2009,21.346,21.543,39.042,49.947,165.819,395.343,523.007,504.946,276.488,127.932,66.17,23.004,2179.386,21.7,65.83,1294.45,0.42,NO
Malda,2007,8.291,7.774,17.928,24.374,63.298,160.209,208.652,168.283,112.92,40.673,28.51,7.726,849.508,24.26,56.9,385.01,0.26,YES
Tinsukia,1999,22.15,20.085,47.949,59.407,140.155,377.167,544.755,456.855,271.32,106.284,60.43,20.967,2156.796,22.29,81.86,58.5,0.657,NO
Jhansi,2014,24.96,26.221,52.091,90.074,179.736,529.959,643.948,494.791,317.769,122.497,76.279,28.54,2557.518,25.6,90.77,116.03,0.763,NO
Jaipur,1991,2.273,2.482,3.593,7.035,15.903,48.362,58.323,48.464,27.587,12.408,5.939,2.416,238.937,34.44,35.28,118.69,0.087,YES
Amravati,2014,8.004,9.863,15.979,29.131,61.749,144.327,201.439,191.603,114.36,38.42,30.635,8.81,883.143,27.49,58.84,355.07,0.279,NO
Bareilly,2022,4.904,3.959,8.6,14.078,30.549,63.787,110.482,72.402,48.274,19.366,15.046,5.157,450.524,23.08,43.38,200.97,0.151,NO
Mumbai,2020,26.766,25.286,51.91,86.434,145.239,461.986,712.014,580.39,328.898,115.887,85.329,29.406,2588.189,27.18,68.8,0.0,0.685,NO
Solapur,2003,8.049,5.636,15.206,23.846,49.855,152.99,178.094,137.246,103.724,38.354,20.036,6.476,750.932,28.26,54.1,205.64,0.254,YES
Bareilly,1990,14.039,14.047,31.173,48.322,112.74,284.184,419.393,344.953,179.546,68.88,46.547,18.68,1536.15,19.7,65.45,434.48,0.418,YES
Jorhat,2005,11.528,12.214,25.933,40.772,72.327,291.517,363.959,246.893,196.581,72.375,43.219,14.423,1289.228,20.33,55.98,425.36,0.331,YES
Delhi,1992,11.121,9.945,19.692,27.078,65.736,193.13,250.79,231.185,94.451,56.534,26.874,9.862,996.635,24.06,75.03,111.42,0.406,YES
Lucknow,2024,11.281,14.417,23.107,38.387,90.011,215.017,301.098,272.525,133.195,65.849,35.277,13.577,1216.159,23.08,66.56,93.72,0.411,YES
Solapur,1995,26.823,18.248,39.555,65.495,183.252,480.972,499.768,487.66,248.958,124.103,72.19,20.737,2283.285,28.1,80.87,43.85,0.678,YES
Khammam,2014,24.619,27.817,40.187,76.585,154.273,494.842,647.916,595.425,296.604,142.07,68.098,23.555,2478.22,28.84,89.75,39.58,0.754,NO
Khammam,2002,5.634,5.429,10.294,15.398,42.219,103.366,119.463,97.337,68.14,32.613,15.129,6.465,532.18,27.38,59.1,160.22,0.242,YES
Karimnagar,2023,14.353,13.967,26.122,42.253,92.977,263.342,299.877,338.132,190.779,73.796,42.486,14.361,1436.889,28.58,51.97,136.72,0.379,NO
Aurangabad,1997,8.721,8.384,20.269,27.624,68.348,157.679,228.942,167.307,118.964,51.985,32.509,8.861,945.595,32.54,41.73,434.35,0.202,NO
Kolkata,2010,21.59,23.316,45.266,76.153,146.449,401.312,587.296,522.057,262.015,132.006,75.672,28.099,2433.492,37.35,68.39,44.77,0.649,YES
Thanjavur,2023,6.114,5.579,14.09,20.5,47.473,119.014,179.062,124.524,81.379,31.709,20.648,5.853,664.723,26.27,36.2,297.25,0.144,NO
Kolhapur,1993,24.654,25.025,47.506,82.022,167.77,512.761,592.444,508.565,238.565,117.791,62.504,23.81,2348.075,28.22,77.16,20.47,0.676,YES
Jodhpur,2014,5.635,5.865,11.386,15.732,35.126,83.113,136.608,120.889,65.829,26.905,16.514,5.217,542.694,22.75,60.47,136.07,0.254,NO
Udaipur,2004,6.643,6.253,11.861,19.402,45.172,154.768,149.785,128.251,76.19,31.124,20.552,7.975,651.644,28.09,57.02,112.64,0.261,NO
Bengaluru,1993,8.286,9.002,13.847,24.671,69.242,170.267,224.76,160.546,105.37,49.791,22.702,10.432,856.04,31.12,69.19,296.19,0.329,NO
Nizamabad,2001,9.174,10.324,19.888,31.667,69.51,196.955,239.085,231.001,127.115,51.546,33.472,9.229,1085.116,16.92,54.97,198.52,0.32,YES
Karimnagar,2021,14.804,14.229,28.547,45.329,117.072,296.556,351.919,253.303,131.157,72.738,37.664,10.715,1436.388,24.33,58.11,461.71,0.363,NO
Jalpaiguri,2021,11.872,12.598,26.438,40.827,93.665,268.275,262.427,242.385,156.2,61.802,36.337,12.338,1230.33,25.86,55.92,0.0,0.378,YES
Madurai,2017,26.782,25.939,47.855,65.066,179.245,525.8,656.537,572.613,349.141,129.339,77.66,27.638,2613.973,23.31,91.02,100.67,0.776,YES
Dibrugarh,2002,25.131,23.036,51.382,71.25,166.608,502.957,584.421,486.618,297.839,130.362,77.718,24.746,2410.271,29.13,76.87,40.95,0.683,YES
Bareilly,2020,11.964,16.581,33.662,51.479,102.477,255.041,437.3,284.098,217.985,76.252,43.573,16.753,1618.705,20.76,68.65,690.22,0.412,NO
Adilabad,2003,3.734,3.714,7.388,9.806,20.864,67.613,77.867,73.398,45.903,17.892,10.552,3.409,351.772,27.55,50.65,384.22,0.141,NO
Kutch,2009,24.737,18.405,39.623,79.933,137.911,474.505,604.719,363.785,223.46,126.891,61.011,20.398,2252.887,21.95,67.3,959.81,0.486,NO
Siliguri,2007,28.686,27.325,63.709,80.054,170.192,675.225,670.837,559.723,393.278,152.372,100.884,32.819,3026.188,25.51,82.79,41.08,0.823,NO
Allahabad,2018,7.978,9.211,16.995,23.571,60.199,145.257,226.352,178.913,101.494,33.77,27.966,8.723,835.721,27.82,62.89,207.41,0.309,NO
Ahmedabad,1995,5.494,5.407,10.422,15.951,41.511,104.44,133.887,108.725,65.416,25.832,16.238,5.696,550.653,30.02,37.59,173.57,0.147,NO
Khammam,2021,23.143,25.024,60.718,75.854,161.545,455.603,555.649,591.711,336.123,110.819,77.967,28.562,2544.531,28.7,78.28,64.6,0.711,NO
Tinsukia,2018,29.617,28.276,72.803,72.215,262.964,598.322,839.377,523.346,330.959,132.631,88.312,30.653,2973.766,27.27,75.77,65.55,0.778,YES
Kutch,1991,21.191,15.871,38.898,62.586,148.544,366.098,458.218,379.444,234.056,108.213,50.494,17.643,1914.84,15.96,83.11,523.8,0.555,YES
Durgapur,2012,8.619,10.368,22.076,25.59,70.218,219.322,268.076,214.226,105.118,53.54,29.274,11.007,994.295,20.41,58.52,124.53,0.329,NO
Bharatpur,2008,23.859,20.971,46.94,74.107,151.739,462.547,494.534,481.738,272.457,124.602,72.068,21.904,2283.326,25.69,78.93,80.84,0.664,YES
Nashik,2020,24.132,23.526,50.051,86.106,152.133,472.659,715.702,597.341,285.258,118.019,90.22,26.038,2636.347,26.36,84.05,34.17,0.758,YES
Mumbai,1994,21.495,26.073,49.592,76.039,151.329,489.843,663.735,502.4,309.346,134.599,73.851,22.273,2360.727,28.82,83.38,48.26,0.703,YES
Aurangabad,2008,5.799,4.742,10.425,16.934,26.122,109.312,137.269,94.509,66.057,27.161,16.047,5.965,533.103,29.87,47.34,212.16,0.182,NO
Noida,2023,26.867,26.277,44.333,73.96,193.348,483.32,713.363,526.975,347.017,110.301,72.943,24.548,2469.612,26.63,85.22,94.03,0.725,YES
Mangaluru,1999,24.935,21.774,39.461,73.198,158.539,448.068,547.031,476.026,251.74,115.267,64.685,22.078,2351.003,22.0,79.22,89.69,0.676,NO
Tirunelveli,2014,7.836,8.061,14.673,24.902,47.824,128.357,163.92,135.085,78.894,45.489,19.185,8.278,756.815,23.22,51.08,351.26,0.221,NO
Amravati,1991,11.257,11.539,20.527,34.958,71.779,246.537,310.506,222.666,134.486,58.869,35.148,12.441,1128.549,21.36,61.48,198.76,0.357,NO
Sikar,2000,27.677,25.098,47.938,81.639,173.438,509.132,662.628,552.516,309.922,118.461,89.08,29.022,2517.028,33.24,79.82,119.44,0.705,YES
Hubballi,2020,28.877,29.218,59.245,104.633,266.347,610.441,817.347,594.602,451.389,174.007,88.496,25.391,3214.968,28.22,87.18,71.02,0.873,YES
Noida,2004,8.189,6.994,16.089,22.911,42.408,136.412,178.91,138.355,90.064,38.585,26.24,7.769,741.914,32.26,57.36,505.06,0.226,NO
Howrah,1998,22.84,18.928,44.384,57.355,126.373,359.385,365.619,431.469,207.738,113.374,58.589,16.785,1987.589,20.23,87.72,904.65,0.537,NO
Alwar,2012,8.699,9.98,15.905,31.113,58.159,181.394,249.7,205.027,126.895,42.569,28.474,10.864,979.338,33.46,47.85,126.56,0.278,NO
Patna,2008,14.779,15.698,30.994,51.701,101.772,262.596,344.336,310.747,154.271,72.096,46.093,14.08,1524.94,27.26,57.64,376.34,0.388,NO
Jorhat,1998,20.289,21.07,41.081,49.82,138.617,399.125,472.463,405.25,242.304,97.342,53.021,19.595,1964.692,21.06,72.48,1006.7,0.45,NO
Jamnagar,2024,6.511,5.272,12.123,16.525,35.334,106.486,136.944,116.931,81.516,27.585,14.435,4.579,548.703,37.79,41.79,365.19,0.139,NO
Gaya,2010,17.011,15.756,37.501,56.291,122.503,378.544,446.868,421.529,226.46,96.751,45.564,15.68,1775.969,17.87,84.1,959.46,0.474,NO
Jamnagar,1998,8.637,6.965,15.455,27.643,53.969,144.902,219.81,199.025,90.908,46.255,22.419,8.149,824.22,23.34,55.36,233.1,0.269,NO
Nagpur,2017,10.704,9.936,23.444,27.357,76.921,238.725,290.808,226.159,149.846,52.709,27.405,10.924,1077.848,26.5,69.92,492.51,0.346,YES
Rajkot,1996,2.89,2.307,5.195,7.68,18.817,56.475,70.875,53.973,30.715,15.185,8.882,2.969,292.655,41.67,44.15,158.16,0.131,NO
Madurai,2005,7.844,6.768,12.83,19.766,47.076,141.387,165.738,107.309,76.421,33.301,22.583,6.136,665.929,24.49,59.02,258.67,0.253,NO
Hubballi,2005,17.597,21.173,45.719,60.629,182.354,511.101,522.121,428.602,287.001,104.242,58.037,22.907,2103.732,20.93,64.29,382.22,0.524,NO
Darjeeling,2022,13.304,11.687,26.137,37.53,85.568,234.291,321.699,247.513,156.907,68.78,39.024,13.03,1271.363,22.71,85.04,1451.04,0.319,NO
Vellore,1993,16.119,19.043,31.191,42.883,106.513,376.076,445.582,385.54,177.44,104.976,49.674,14.041,1704.128,24.8,87.27,928.95,0.48,YES
Mahbubnagar,1993,8.997,6.411,14.167,21.676,53.934,135.868,203.598,158.663,88.695,41.771,21.981,7.174,737.718,29.59,47.5,123.35,0.233,NO
Mysuru,2006,20.148,17.289,30.275,46.094,117.771,255.315,393.241,332.48,198.142,73.405,48.118,18.774,1679.259,24.47,87.93,1463.46,0.405,NO
