DISTRICT,YEAR,AVG_TEMP,HUMIDITY,ELEVATION,FLOODS,MONTH,RAINFALL_MM
Dibrugarh,2002,29.13,76.87,40.95,1,1,25.131
Bareilly,2020,20.76,68.65,690.22,0,1,11.964
Adilabad,2003,27.55,50.65,384.22,0,1,3.734
Kutch,2009,21.95,67.3,959.81,0,1,24.737
Siliguri,2007,25.51,82.79,41.08,0,1,28.686
Allahabad,2018,27.82,62.89,207.41,0,1,7.978
Ahmedabad,1995,30.02,37.59,173.57,0,1,5.494
Khammam,2021,28.7,78.28,64.6,0,1,23.143
Tinsukia,2018,27.27,75.77,65.55,1,1,29.617
Kutch,1991,15.96,83.11,523.8,1,1,21.191
Durgapur,2012,20.41,58.52,124.53,0,1,8.619
Bharatpur,2008,25.69,78.93,80.84,1,1,23.859
Nashik,2020,26.36,84.05,34.17,1,1,24.132
Mumbai,1994,28.82,83.38,48.26,1,1,21.495
Aurangabad,2008,29.87,47.34,212.16,0,1,5.799
Noida,2023,26.63,85.22,94.03,1,1,26.867
Mangaluru,1999,22.0,79.22,89.69,0,1,24.935
Tirunelveli,2014,23.22,51.08,351.26,0,1,7.836
Amravati,1991,21.36,61.48,198.76,0,1,11.257
Sikar,2000,33.24,79.82,119.44,1,1,27.677
Hubballi,2020,28.22,87.18,71.02,1,1,28.877
Noida,2004,32.26,57.36,505.06,0,1,8.189
Howrah,1998,20.23,87.72,904.65,0,1,22.84
Alwar,2012,33.46,47.85,126.56,0,1,8.699
Patna,2008,27.26,57.64,376.34,0,1,14.779
Jorhat,1998,21.06,72.48,1006.7,0,1,20.289
Jamnagar,2024,37.79,41.79,365.19,0,1,6.511
Gaya,2010,17.87,84.1,959.46,0,1,17.011
Jamnagar,1998,23.34,55.36,233.1,0,1,8.637
Nagpur,2017,26.5,69.92,492.51,1,1,10.704
Rajkot,1996,41.67,44.15,158.16,0,1,2.89
Madurai,2005,24.49,59.02,258.67,0,1,7.844
Hubballi,2005,20.93,64.29,382.22,0,1,17.597
Darjeeling,2022,22.71,85.04,1451.04,0,1,13.304
Vellore,1993,24.8,87.27,928.95,1,1,16.119
Mahbubnagar,1993,29.59,47.5,123.35,0,1,8.997
Mysuru,2006,24.47,87.93,1463.46,0,1,20.148
Warangal,2018,22.29,63.45,893.5,0,1,20.359
Jaipur,2024,30.45,43.32,381.81,0,1,6.04
Katihar,1996,24.77,79.49,88.3,1,1,28.244
Allahabad,2016,23.93,56.98,118.94,0,1,7.167
Thanjavur,2017,24.55,70.89,408.39,0,1,8.297
Tezpur,2011,28.87,83.74,81.53,1,1,37.504
Howrah,2003,29.58,71.5,0.0,1,1,22.522
Malda,1996,25.75,86.78,896.53,0,1,14.944
Dibrugarh,2011,17.7,76.74,219.44,1,1,8.579
Arrah,1994,25.8,66.79,463.06,1,1,10.225
Thane,1991,33.73,78.25,22.94,1,1,21.418
Thanjavur,2016,20.49,62.2,339.73,1,1,9.972
Thanjavur,2010,23.18,57.16,590.22,0,1,10.464
Siliguri,2004,29.4,84.89,0.0,1,1,24.927
Agra,2010,22.61,60.66,1038.21,0,1,14.625
Dindigul,1999,15.85,78.2,1051.69,0,1,24.333
Dibrugarh,2012,24.64,84.24,9.62,0,1,19.174
Bikaner,1994,32.31,42.55,32.51,0,1,6.237
Surat,1990,15.82,79.42,1346.82,0,1,11.776
Jhansi,2002,30.61,42.43,291.53,1,1,9.947
Dibrugarh,2010,31.07,75.23,55.87,0,1,18.393
Junagadh,2015,25.99,63.97,278.12,1,1,8.962
Mumbai,2010,26.62,82.26,87.35,0,1,26.412
Tirunelveli,2007,24.5,77.1,122.1,0,1,28.458
Dibrugarh,2021,28.36,48.05,311.45,0,1,5.464
Alwar,2006,31.09,79.72,0.0,1,1,28.708
Nashik,2024,22.85,70.81,48.91,0,1,23.302
Barpeta,2000,26.66,42.68,341.32,0,1,4.324
Udaipur,2010,31.16,52.24,157.1,1,1,9.804
Tirunelveli,2015,22.13,85.61,1568.21,0,1,20.13
Amravati,1993,30.01,78.8,39.89,1,1,22.113
Dibrugarh,2023,25.65,81.93,12.43,0,1,18.869
Adilabad,2007,25.59,61.72,408.14,0,1,9.619
Junagadh,2024,26.62,82.67,63.73,1,1,31.983
Patna,2018,27.07,53.52,209.82,1,1,10.429
Siliguri,2018,29.74,79.64,89.02,0,1,15.99
Tiruchirappalli,2010,25.31,65.44,21.78,0,1,7.685
Sikar,2002,30.46,49.03,305.2,1,1,4.681
Katihar,2006,26.0,66.07,218.02,0,1,4.041
Warangal,1998,15.28,81.38,1703.49,0,1,16.732
Jamnagar,1990,23.88,76.28,1327.03,1,1,16.014
Bareilly,1991,30.14,62.97,248.17,0,1,3.892
Gaya,2018,14.6,70.47,613.56,1,1,22.138
Dibrugarh,2022,34.32,84.3,1.4,1,1,24.236
Begusarai,1999,29.23,74.6,47.67,1,1,25.614
Gaya,2010,21.64,79.95,1022.28,0,1,14.027
Bengaluru,2017,23.99,61.32,457.92,0,1,10.443
Medak,2000,28.37,76.42,28.35,1,1,30.448
Pune,2023,28.19,53.27,354.66,0,1,7.268
Nashik,1997,37.29,47.15,164.37,1,1,4.062
Purnia,2011,24.71,78.76,94.96,0,1,22.562
Lucknow,1997,30.49,55.71,280.76,1,1,9.364
Katihar,2004,24.32,64.2,190.32,0,1,8.59
Pune,2006,31.68,43.23,120.05,1,1,9.461
Pune,2012,20.19,60.92,232.09,0,1,7.201
Surat,2013,25.69,56.26,264.97,0,1,9.912
Muzaffarpur,2008,21.79,73.86,44.06,1,1,20.367
Gorakhpur,1994,26.02,78.31,62.78,0,1,26.505
Jamnagar,2021,18.57,64.5,866.98,1,1,20.038
Junagadh,1990,31.74,56.82,116.82,1,1,5.973
Mumbai,2012,23.29,83.6,37.39,1,1,33.5
Chitradurga,1997,36.63,53.28,178.15,0,1,1.075
Pune,2002,33.32,65.11,215.03,1,1,9.947
Bhagalpur,1997,26.62,38.59,58.44,0,1,6.26
Siliguri,2012,16.04,65.58,392.17,0,1,17.274
Noida,1990,15.74,82.15,217.6,0,1,20.435
Warangal,2013,20.29,90.78,1067.81,1,1,21.23
Barpeta,2024,22.83,63.75,367.68,0,1,12.676
Warangal,2013,23.83,86.12,663.73,1,1,18.573
Sivasagar,2006,28.64,36.86,248.53,1,1,4.601
Darbhanga,1994,27.81,53.76,242.33,0,1,12.61
Bikaner,2009,29.77,51.7,185.33,0,1,8.289
Purnia,2010,27.84,37.0,69.56,0,1,6.135
Shivamogga,2020,22.96,43.84,487.02,0,1,14.969
Rangareddy,2000,24.55,83.75,97.85,0,1,21.773
Tiruchirappalli,2004,26.87,76.41,59.7,1,1,31.178
Goalpara,2008,26.27,40.63,186.04,0,1,8.777
Gandhinagar,1996,26.92,71.61,314.24,0,1,8.971
Barpeta,2017,30.13,50.05,122.46,0,1,3.104
Allahabad,1994,27.41,83.49,9.84,1,1,24.525
Delhi,1994,22.5,52.59,270.35,0,1,5.205
Belagavi,2019,34.65,54.7,100.39,0,1,3.714
Junagadh,2021,23.4,82.52,24.49,1,1,25.546
Jodhpur,1997,32.02,30.12,0.0,0,1,4.501
Katihar,1999,34.94,34.14,306.35,0,1,3.702
Barpeta,2021,34.79,55.07,350.76,1,1,4.987
Churu,2017,22.4,79.59,1294.42,0,1,20.548
Vadodara,2006,20.22,73.95,1324.62,1,1,26.752
Nashik,2020,26.39,28.16,66.09,1,1,4.642
Raichur,1997,15.81,68.28,895.52,0,1,18.855
Katihar,2014,26.14,56.95,409.16,1,1,8.881
Mahbubnagar,1998,27.28,37.45,102.57,0,1,5.137
Chitradurga,1991,18.46,66.62,836.94,1,1,18.109
Noida,2004,28.77,63.33,54.87,1,1,16.502
Nagaon,1992,25.28,74.68,254.63,1,1,12.525
Chitradurga,1993,17.75,80.13,927.13,1,1,19.862
Raichur,2003,36.96,77.63,65.07,1,1,24.119
Jamnagar,2014,28.65,44.34,33.91,0,1,6.552
Jaipur,1999,33.12,51.15,32.57,1,1,3.601
Gaya,2010,28.78,54.03,484.7,0,1,14.673
Karimnagar,2001,26.75,81.07,82.19,1,1,19.579
Suryapet,2016,23.24,56.44,203.29,0,1,7.933
Medak,1991,23.1,78.11,95.8,1,1,16.457
Kanpur,2002,20.73,62.3,1066.51,0,1,21.513
Mumbai,2021,28.11,80.22,84.12,0,1,25.296
Delhi,2020,25.15,49.09,170.96,0,1,3.618
Surat,2005,35.07,53.43,231.21,0,1,3.52
Arrah,2021,29.87,71.29,39.77,1,1,29.417
Jhansi,2021,28.06,84.77,100.12,0,1,23.721
Nadia,2023,28.52,52.27,183.7,0,1,3.782
Madurai,2000,29.14,59.72,191.39,0,1,7.762
Hyderabad,1999,21.27,56.36,57.71,1,1,9.547
Rajkot,2004,27.58,45.69,187.85,0,1,6.903
Howrah,2006,28.89,49.75,561.25,0,1,6.999
Kutch,2007,25.35,59.38,503.15,0,1,7.998
Kolhapur,1998,34.57,56.84,272.6,1,1,10.786
Belagavi,2014,27.6,46.52,190.82,0,1,4.994
Noida,2003,19.74,74.66,501.83,1,1,18.072
Nalanda,2014,27.92,68.12,352.29,0,1,8.183
Pune,2011,28.49,57.96,348.82,0,1,6.108
Mumbai,2019,27.24,86.37,65.85,0,1,31.655
Jalpaiguri,2009,23.18,35.33,61.53,1,1,8.605
Bengaluru,2010,24.82,72.93,473.99,0,1,11.366
Goalpara,2021,31.73,31.21,177.04,0,1,5.434
Adilabad,2010,27.21,84.11,86.87,1,1,23.506
Warangal,2024,35.73,66.76,330.58,0,1,8.505
Amravati,2021,24.85,49.27,514.39,0,1,11.925
Kutch,2019,28.75,86.12,69.47,1,1,26.538
Chitradurga,2001,28.12,74.07,24.86,0,1,27.125
Jalpaiguri,2007,29.16,31.8,282.04,0,1,5.789
Churu,2010,33.51,40.52,301.74,0,1,6.745
Nashik,2002,25.95,41.0,221.02,0,1,3.921
Raichur,2010,39.47,38.94,171.89,1,1,7.212
Tiruchirappalli,1997,23.29,60.7,438.57,1,1,8.446
Muzaffarpur,1996,31.9,48.7,315.35,0,1,1.991
Karimnagar,2012,26.85,59.2,103.23,0,1,4.523
Tiruchirappalli,2021,19.94,65.69,1053.95,0,1,13.78
Bikaner,2000,35.28,36.47,180.33,0,1,4.114
Udaipur,2011,37.78,66.08,389.59,0,1,7.633
Mahbubnagar,2011,25.66,74.75,28.56,1,1,30.484
Rangareddy,2014,22.96,49.87,383.29,1,1,13.49
Agra,2011,28.17,44.48,403.9,0,1,7.898
Kutch,2017,27.86,84.85,51.86,0,1,29.232
Jhansi,2018,26.51,84.8,91.44,1,1,35.117
Kutch,2002,28.87,48.97,190.53,0,1,3.204
Salem,2007,28.0,57.87,77.7,0,1,6.08
Vadodara,1991,21.52,52.77,520.28,0,1,15.594
Kalaburagi,2018,28.82,74.23,36.6,0,1,24.81
Kanpur,2010,28.16,81.38,52.84,1,1,32.358
Tezpur,2004,28.19,49.73,184.39,0,1,5.569
Muzaffarpur,2016,18.39,61.9,158.3,1,1,13.077
Khammam,2020,24.67,56.91,162.49,0,1,10.385
Churu,2004,33.84,70.28,68.89,0,1,12.294
Guwahati,2012,24.67,59.56,377.84,0,1,8.563
Kolkata,2013,27.09,81.27,71.59,1,1,23.219
Anand,2002,24.07,59.71,337.27,0,1,12.708
Karimnagar,2011,32.48,40.08,260.96,0,1,4.676
Sivasagar,2022,30.3,49.37,280.34,1,1,14.993
Karimnagar,1992,18.03,78.37,1080.72,1,1,20.785
Mangaluru,2008,23.49,69.18,49.16,1,1,31.831
Chennai,2012,26.98,76.83,47.84,1,1,27.392
Jalpaiguri,2018,23.9,55.0,137.46,1,1,11.606
Raichur,2019,19.37,65.29,1526.75,1,1,14.904
Solapur,2014,23.58,72.66,884.25,0,1,18.507
Kolhapur,1997,24.93,82.23,36.1,1,1,33.598
Nagaon,2005,27.69,61.28,215.68,0,1,5.683
Shivamogga,1997,27.71,54.25,242.25,1,1,9.52
Karimnagar,1990,32.02,51.18,162.53,1,1,5.869
Jalpaiguri,1994,28.78,62.64,329.42,0,1,9.962
Kota,1992,22.44,33.55,31.66,0,1,6.355
Katihar,1990,32.42,37.24,113.96,0,1,6.992
Allahabad,1993,27.97,72.94,94.62,0,1,24.79
Coimbatore,2024,17.93,72.21,1567.31,0,1,17.957
Dindigul,2021,24.96,69.65,895.67,1,1,21.737
Rangareddy,2023,22.68,73.17,1998.07,1,1,19.38
Patna,2014,22.76,79.34,405.13,1,1,16.744
Muzaffarpur,1999,24.09,43.64,520.8,1,1,10.442
Solapur,2010,30.32,41.03,313.7,0,1,7.805
Tirunelveli,2016,19.91,86.96,899.84,0,1,21.998
Tirunelveli,2016,24.11,82.63,78.58,1,1,23.192
Gandhinagar,1991,33.27,84.88,83.53,1,1,23.929
Chennai,2002,27.26,78.28,41.84,1,1,22.723
Dindigul,1998,26.12,66.89,366.09,1,1,8.836
Junagadh,2011,27.84,58.74,0.0,0,1,9.243
Thanjavur,2015,22.66,68.67,202.49,0,1,12.158
Silchar,2001,31.19,70.17,514.14,1,1,10.036
Junagadh,2006,22.29,69.24,219.77,0,1,12.596
Goalpara,2003,20.72,69.76,978.75,1,1,19.88
Guwahati,2003,18.42,75.74,950.65,1,1,14.416
Jalpaiguri,2023,34.26,35.41,90.52,1,1,6.639
Chitradurga,2009,32.27,50.53,191.14,1,1,5.348
Nagpur,2000,25.29,63.39,268.72,0,1,4.955
Khammam,2005,19.8,44.07,162.61,0,1,10.524
Silchar,2020,29.13,82.3,45.67,1,1,22.487
Murshidabad,1995,28.44,82.18,14.7,1,1,29.293
Shivamogga,2008,19.83,65.68,292.66,1,1,7.159
Siliguri,1993,30.82,45.46,192.62,0,1,3.663
Surat,1993,28.63,65.65,595.91,1,1,8.755
Dindigul,2009,26.26,63.14,179.98,0,1,7.825
Vadodara,1999,24.01,51.09,421.72,1,1,10.411
Asansol,2013,31.49,66.31,83.18,0,1,8.962
Thane,2024,33.48,75.24,123.88,0,1,30.947
Kutch,2015,16.66,66.45,1158.55,0,1,22.393
Adilabad,2010,31.09,81.06,57.18,1,1,24.143
Tiruchirappalli,2010,31.71,20.0,261.24,0,1,6.103
Vadodara,1999,23.56,53.32,309.69,0,1,9.739
Asansol,1993,27.36,78.43,37.59,0,1,26.183
Bhagalpur,2009,29.33,58.25,106.29,1,1,6.644
Bhavnagar,2006,31.15,78.92,56.08,1,1,21.882
Kutch,1996,28.22,64.26,325.35,1,1,7.03
Nalanda,1993,22.68,30.11,13.31,0,1,3.612
Junagadh,2018,19.36,78.77,1885.47,0,1,18.026
Jorhat,2003,22.81,80.19,655.26,0,1,13.408
Meerut,1992,30.75,50.8,346.37,0,1,17.086
Warangal,2013,28.35,44.1,127.63,0,1,6.069
Gorakhpur,2005,27.91,58.95,291.31,1,1,5.914
Karimnagar,1993,23.62,83.7,1130.91,0,1,18.91
Nagaon,2013,32.61,30.58,182.22,0,1,4.062
Kalaburagi,2023,38.26,63.79,217.84,0,1,4.203
Salem,2019,35.57,26.0,211.0,0,1,5.0
Bhavnagar,2007,24.28,64.24,384.49,0,1,9.774
Muzaffarpur,2008,29.6,36.26,249.54,0,1,6.651
Begusarai,2020,25.09,78.82,132.86,0,1,21.807
Nagaon,2008,25.31,38.39,166.58,0,1,5.291
Asansol,2008,19.8,85.77,1535.45,0,1,15.6
Tiruchirappalli,2011,33.61,61.01,426.71,0,1,10.789
Warangal,2013,34.12,55.81,132.7,0,1,11.195
Durgapur,2001,27.18,48.79,244.24,1,1,11.107
Allahabad,2019,15.0,78.1,908.71,0,1,14.95
Madurai,2020,24.57,64.5,263.32,1,1,7.183
Tezpur,2008,28.89,56.37,275.8,0,1,10.383
Tirunelveli,2019,22.83,60.29,223.47,0,1,6.653
Pune,2022,35.38,62.83,154.73,0,1,10.859
Noida,2007,29.06,51.41,412.69,1,1,7.375
Shivamogga,2017,31.32,50.02,327.34,1,1,14.089
Karimnagar,2000,27.64,77.7,43.52,1,1,28.663
Amravati,2022,28.93,83.05,72.55,1,1,29.51
Darjeeling,2006,19.99,74.15,376.34,1,1,25.921
Jalpaiguri,1995,26.31,70.62,66.41,1,1,30.8
Medak,1993,24.4,75.92,80.37,0,1,13.574
Vadodara,2009,30.1,84.23,60.87,0,1,15.845
Howrah,2016,27.37,71.26,24.11,1,1,24.202
Erode,2004,28.24,38.43,270.08,0,1,4.835
Kutch,1995,32.46,60.73,465.75,0,1,4.893
Nadia,2003,32.12,64.56,323.1,0,1,8.37
Salem,2000,36.86,30.58,50.57,0,1,4.468
Tiruchirappalli,1998,25.02,70.21,30.48,1,1,27.142
Mysuru,2015,17.67,60.9,1137.28,0,1,17.425
Nalanda,2005,23.89,71.08,1507.25,0,1,17.349
Kolhapur,1994,18.52,80.35,553.41,1,1,16.598
Arrah,1999,25.05,44.65,580.97,1,1,9.168
Mahbubnagar,1992,20.61,65.7,394.93,0,1,8.394
Malda,2002,28.87,51.21,298.39,1,1,8.916
Raichur,2019,25.88,41.42,429.57,0,1,7.164
Tinsukia,1995,23.19,72.21,493.34,0,1,20.199
Solapur,2006,30.41,89.87,22.59,1,1,20.966
Belagavi,2008,31.16,86.72,8.76,0,1,22.754
Mangaluru,2024,31.19,77.5,117.24,0,1,22.515
Kota,2015,28.45,47.07,201.32,0,1,4.848
Gorakhpur,1994,27.96,77.09,55.49,1,1,24.686
Hubballi,2018,26.82,40.31,469.87,0,1,10.836
Surat,2009,26.43,53.91,86.32,1,1,10.437
Gandhinagar,2010,30.06,83.19,25.59,0,1,19.071
Tezpur,1999,28.15,33.23,235.36,0,1,7.489
Warangal,1994,27.26,70.71,552.99,0,1,5.757
Gorakhpur,1995,26.27,85.57,76.62,1,1,27.914
Jorhat,2015,20.76,71.39,1142.49,0,1,23.336
Allahabad,1993,29.1,80.56,57.75,1,1,25.163
Patna,2024,21.29,73.02,468.89,0,1,10.407
Salem,1990,21.06,77.9,614.15,0,1,16.915
Begusarai,2013,24.1,86.67,1119.67,1,1,22.574
Jorhat,1995,31.2,71.23,64.09,1,1,28.618
Dibrugarh,2020,24.46,77.09,42.09,0,1,21.874
Coimbatore,2009,20.94,56.72,280.23,1,1,9.621
Begusarai,2013,29.58,86.22,1.69,1,1,33.535
Begusarai,2014,28.46,80.0,33.49,1,1,23.77
Allahabad,2010,25.39,52.62,0.0,0,1,9.447
Murshidabad,2019,16.04,58.89,400.89,0,1,11.57
Gaya,2013,21.89,65.2,318.61,0,1,10.567
Howrah,2019,23.87,72.48,946.33,0,1,18.52
Barpeta,2011,27.68,68.38,338.81,1,1,10.722
Hubballi,2017,33.96,80.58,59.04,1,1,29.311
Muzaffarpur,1996,30.6,78.49,39.67,1,1,26.24
Nalanda,2024,31.32,56.79,60.47,1,1,4.814
Junagadh,2017,19.73,74.39,374.71,0,1,10.147
Solapur,2003,31.34,56.69,100.96,1,1,3.649
Bhagalpur,1999,25.64,51.94,352.54,0,1,9.163
Nalanda,2005,16.62,84.53,1524.09,0,1,17.817
Aurangabad,2005,31.19,70.02,565.88,1,1,8.009
Sivasagar,2020,26.25,48.55,357.03,0,1,7.803
Thane,2014,29.25,78.33,40.72,0,1,18.606
Jamnagar,2002,22.69,72.45,228.93,0,1,11.853
Rajkot,1995,31.45,54.55,233.89,0,1,7.784
Durgapur,1998,25.35,54.75,8.61,1,1,12.695
Kutch,2009,34.85,74.56,25.86,0,1,26.393
Darbhanga,2007,23.79,73.0,185.67,0,1,10.226
Suryapet,2010,17.91,79.5,1164.25,0,1,19.108
Gaya,1993,31.02,45.36,194.43,0,1,1.779
Belagavi,2022,25.09,51.98,323.12,0,1,6.756
Mysuru,2016,20.72,80.76,950.61,1,1,17.911
Dindigul,1996,32.57,49.64,267.05,1,1,14.021
Chitradurga,1995,25.07,75.48,59.16,0,1,27.584
Shivamogga,2004,20.34,78.21,1279.05,1,1,19.097
Jorhat,2007,23.5,69.9,460.18,0,1,4.611
Chitradurga,2021,27.33,46.43,197.31,0,1,3.215
Surat,2000,25.45,56.38,457.83,0,1,9.481
